,cifar10_accuracy,cifar10_accuracy_ci,cifar10.2-test_accuracy,cifar10.2-test_accuracy_ci,pretrained,model_family,model_hparams
642,0.6112,"(0.6015643472112427, 0.6207708469108979)",0.4635,"(0.44146252562055677, 0.48564463309187456)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
643,0.6095,"(0.5998573051565687, 0.6190788800479358)",0.463,"(0.4409648725953736, 0.485143754163058)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
644,0.7463,"(0.7376506893697146, 0.7548056519031856)",0.571,"(0.5489680933414227, 0.5928234377532255)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
645,0.2547,"(0.24618299426644336, 0.2633600797715373)",0.194,"(0.17687827835660505, 0.21202354683006375)",False,RidgeClassifier,"{'alpha': 8.902150854450356e+20, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
646,0.4297,"(0.41996918560070345, 0.43947178001442455)",0.337,"(0.3162856134793304, 0.35819331879842164)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
647,0.4101,"(0.40043724086013055, 0.41981514846689383)",0.2955,"(0.2755653349033732, 0.3160358699840311)",False,RidgeClassifier,"{'alpha': 9111.627561154906, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
648,0.9266,"(0.9213132701935738, 0.9316366352436343)",0.792,"(0.773540051085936, 0.8095997927667067)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
649,0.7238,"(0.7149223473849008, 0.732547144249792)",0.5495,"(0.5273854037062224, 0.5714692666287835)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
650,0.4979,"(0.48805207882405777, 0.5077491448178575)",0.3705,"(0.3492875289770278, 0.39209284687936685)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
651,0.2528,"(0.24430461738309905, 0.2614395675839132)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 6579332246.575683, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
652,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
653,0.4885,"(0.4786573227887759, 0.498349378118756)",0.3705,"(0.3492875289770278, 0.39209284687936685)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
