,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
281,0.1387,"(0.1319816440687177, 0.14562950852390244)",0.129,"(0.11461140726740703, 0.1444856027324748)",False,RidgeClassifier,"{'alpha': 2.056512308348643e+18, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
282,0.7423,"(0.7336079671828261, 0.7508507127107358)",0.5935,"(0.5715993338114588, 0.6151261020193272)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
283,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1.8307382802953696e+16, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
284,0.4857,"(0.47585955455519363, 0.4955487778857669)",0.3575,"(0.3364674963491504, 0.3789511127969275)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
285,0.7426,"(0.733911138680064, 0.7511473658294014)",0.5975,"(0.5756275256529862, 0.6190861573141273)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
286,0.7067,"(0.6976674934727931, 0.715611986109376)",0.529,"(0.50684482752459, 0.5510700339153491)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
287,0.6755,"(0.666223576531742, 0.6846741155156231)",0.5595,"(0.537418719947456, 0.5814065851542649)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
288,0.3388,"(0.32952150549286885, 0.34817245901071814)",0.266,"(0.2467392641401549, 0.285949027597017)",False,K_nearest_neighbors,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 2, 'scale_features': True}"
289,0.3032,"(0.29419957146929715, 0.31231516856718755)",0.2365,"(0.21802394258700514, 0.2557516330323538)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
290,0.5159,"(0.5060517032110243, 0.5257390320409686)",0.4265,"(0.40469621366080655, 0.44851959806638475)",False,ShuffleNetG3,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
291,0.9523,"(0.9479390581798113, 0.9563950302819957)",0.892,"(0.8775682353892639, 0.9052706566619619)",False,ResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
292,0.7955,"(0.7874592300728611, 0.8033683102798018)",0.6405,"(0.6190259989172429, 0.6615612749349877)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 100.0, 'zca': False, 'tot_patches': 100000}"
293,0.3067,"(0.2976694942789238, 0.3158432025238669)",0.2475,"(0.22871761687995515, 0.2670253851684087)",False,RidgeClassifier,"{'alpha': 312.5715849688235, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
294,0.4103,"(0.40063646709699796, 0.42001580565337626)",0.3155,"(0.2951661207981107, 0.3363761279791999)",False,RidgeClassifier,"{'alpha': 0.1873817422860383, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
295,0.5518,"(0.5419890076305002, 0.5615808081125355)",0.409,"(0.38734968346851245, 0.4309175355939182)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
296,0.4857,"(0.47585955455519363, 0.4955487778857669)",0.3575,"(0.3364674963491504, 0.3789511127969275)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
297,0.3623,"(0.3528703750497007, 0.3718098824740501)",0.273,"(0.2535697591383976, 0.2930978522658536)",False,QuadraticDiscrimantAnalysis,"{'reg_param': 0.0, 'scale_features': True}"
298,0.8846,"(0.8781755460269165, 0.8907995075355195)",0.8015,"(0.7833325356969055, 0.8187790428080701)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
299,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
300,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",True,imgnt_squeezenet1_1,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
301,0.4234,"(0.41368935504589915, 0.43315528231186307)",0.3105,"(0.2902617414325091, 0.33129524077193884)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
302,0.9137,"(0.9080250421716592, 0.9191326450391331)",0.8345,"(0.8174752904877466, 0.8505377260984)",False,ShuffleNetV2_2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
303,0.6082,"(0.598552002331101, 0.6177849407486123)",0.4755,"(0.453412807122237, 0.49765911977014776)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
304,0.6058,"(0.5961423993730623, 0.615395942835665)",0.4805,"(0.45839582834269527, 0.5026614192203327)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
305,0.2548,"(0.24628186214525555, 0.2634611534250739)",0.2005,"(0.18315216388389882, 0.21873030357429635)",False,RidgeClassifier,"{'alpha': 1707352647.4706888, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
306,0.772,"(0.7636485544267729, 0.7801927516806679)",0.599,"(0.5771384798171443, 0.6205707955988297)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
307,0.3628,"(0.3533674280528396, 0.372312537883998)",0.2715,"(0.252105565760544, 0.29156647625658205)",False,LogisticRegression,"{'penalty': 'l2', 'C': 1.0, 'max_iter': 2000, 'scale_features': True, 'fit_intercept': True, 'solver': 'lbfgs'}"
308,0.9532,"(0.9488763956475744, 0.9572571263437403)",0.888,"(0.8733562356901307, 0.9014949274257791)",False,ResNeXt29_32x4d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
309,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,MobileNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
310,0.9083,"(0.9024739325189426, 0.913886993750754)",0.8095,"(0.7915908571251539, 0.826496885490464)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
311,0.4729,"(0.46307367721502135, 0.48274211374683784)",0.3745,"(0.353235475890119, 0.3961331386775979)",False,ShuffleNetV2_2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
312,0.7323,"(0.7235052291868532, 0.7409592957429775)",0.5915,"(0.5695857922096061, 0.6131455197325912)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
313,0.9587,"(0.9546141583792676, 0.9625158719957041)",0.893,"(0.8786221353028817, 0.9062136836698658)",False,PreActResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
314,0.4037,"(0.3940628728707676, 0.41339324700644)",0.317,"(0.29663796802528536, 0.3378998614025962)",False,SVM,"{'kernel': 'linear', 'C': 0.01, 'gamma': 'auto', 'scale_features': True}"
315,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 9326033468832180.0, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
316,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.00037649358067924675, 'momentum': 0.7460606060606061, 'weight_decay': 1204.5035402587837, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4277551020408163}"
317,0.7444,"(0.7357302786364884, 0.7529271735262609)",0.587,"(0.5650566693602611, 0.6086878630855506)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
318,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 114975699.53977357, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
319,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,VGG19,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
320,0.3608,"(0.3513792822520633, 0.3703018500443708)",0.2685,"(0.24917802069667275, 0.28850288398538626)",False,SVM,"{'kernel': 'rbf', 'C': 0.01, 'gamma': 'auto', 'scale_features': True}"
321,0.2534,"(0.24489776583171377, 0.2620460683066066)",0.202,"(0.18460101726969713, 0.22027698589413058)",False,RidgeClassifier,"{'alpha': 4750810162102813.0, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
322,0.2528,"(0.24430461738309905, 0.2614395675839132)",0.202,"(0.18460101726969713, 0.22027698589413058)",False,RidgeClassifier,"{'alpha': 1232846739442063.5, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
323,0.7442,"(0.735528142557336, 0.752729426536407)",0.601,"(0.5791534106670783, 0.6225499878152344)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
324,0.9115,"(0.9057627308613025, 0.9169962770933404)",0.8185,"(0.8008952979523409, 0.8351655882444406)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.004641588833612782, 'momentum': 0.7615151515151515, 'weight_decay': 0.04534878508128582, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.28163265306122454}"
325,0.9392,"(0.9343370747111075, 0.9438051460977038)",0.8565,"(0.8403632891559419, 0.8715835768609447)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
326,0.5577,"(0.5479000244662331, 0.5674663530057568)",0.406,"(0.3843788101048177, 0.4278972231251258)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
327,0.6517,"(0.6422689831750787, 0.6610425940327287)",0.511,"(0.4888397045622639, 0.5331280021873963)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
328,0.8744,"(0.8677455315795176, 0.8808355694735591)",0.7655,"(0.7462999678969443, 0.7839185301550611)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
329,0.3958,"(0.3861968568217377, 0.4054638682346615)",0.299,"(0.2789922173264025, 0.3195986657658041)",False,SVM,"{'kernel': 'poly', 'C': 0.1, 'gamma': 'auto', 'scale_features': True}"
330,0.6239,"(0.6143208426189432, 0.6334069469723893)",0.4565,"(0.43449739342559096, 0.47863031839784165)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
331,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
332,0.9462,"(0.9415962552079215, 0.9505416435346579)",0.8785,"(0.8633745669565062, 0.8925056171873993)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
333,0.7672,"(0.7587897413709301, 0.7754543742302309)",0.6,"(0.5781458987230713, 0.6215604382547559)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
334,0.7204,"(0.7114903096191079, 0.7291811683211865)",0.5535,"(0.5313976610822452, 0.5754452635064791)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
335,0.7644,"(0.7559561261943489, 0.772689627968201)",0.6505,"(0.6291444294282964, 0.6714134257094102)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
336,0.1023,"(0.0964269170821963, 0.10840582258700115)",0.102,"(0.08907684109823559, 0.11610273972974916)",False,RidgeClassifier,"{'alpha': 2e+23, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
337,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 5.094138014816365e+22, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
338,0.9202,"(0.9147155406381036, 0.9254382342265678)",0.8275,"(0.8102151933611805, 0.8438187875475129)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.002009233002565048, 'momentum': 0.7112121212121212, 'weight_decay': 0.04328761281083057, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.37326530612244896}"
339,0.3983,"(0.3886858208939556, 0.4079734467919899)",0.3065,"(0.2863402256585242, 0.3272285458801242)",False,RidgeClassifier,"{'alpha': 1204.5035402587837, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
340,0.2889,"(0.28002894625698344, 0.2978941436960916)",0.23,"(0.2117130198174309, 0.249081821000821)",False,RidgeClassifier,"{'alpha': 29836472.402833343, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
341,0.9232,"(0.9178069010558173, 0.9283450623644262)",0.837,"(0.8200706810080336, 0.8529348395113536)",False,VGG11,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
342,0.5518,"(0.5419890076305002, 0.5615808081125355)",0.409,"(0.38734968346851245, 0.4309175355939182)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
343,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.00032745491628777284, 'momentum': 0.6972727272727273, 'weight_decay': 1204.5035402587837, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4459183673469388}"
344,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 0.00022051307399030456, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
345,0.5471,"(0.5372812238930798, 0.5568913307491131)",0.4325,"(0.4106499979011524, 0.4545481914580888)",False,RandFeaturesCoatesNg_2to4,"{'num_filters': 16, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
346,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1450828778495.943, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
347,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,VGG19,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
348,0.7822,"(0.7739786494146033, 0.7902566841333275)",0.6355,"(0.6139705073280058, 0.6566314724717595)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 100.0, 'zca': False, 'tot_patches': 100000}"
349,0.9109,"(0.9051459177473109, 0.9164134501347595)",0.8095,"(0.7915908571251539, 0.826496885490464)",False,ShuffleNetV2_2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
350,0.6967,"(0.6875840219168434, 0.7057012964270957)",0.532,"(0.5098484486531984, 0.5540576048407292)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
351,0.8867,"(0.8803247841659692, 0.8928490222724214)",0.784,"(0.765305219054873, 0.8018583970784148)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
352,0.7032,"(0.6941376957891857, 0.7121438275275369)",0.526,"(0.5038419982065369, 0.5480816710429821)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
353,0.5576,"(0.5477998261606428, 0.5673666095878924)",0.418,"(0.39626726618182156, 0.4399735130777259)",True,imgnt_mobilenet_v2,"{'num_classes': 10, 'input_size': (32, 32), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
354,0.8548,"(0.8477417381459663, 0.8616509457820217)",0.737,"(0.7171166459518282, 0.7561861959907797)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
355,0.2907,"(0.2818120788538826, 0.29970995988874816)",0.2305,"(0.21219825732900163, 0.2495951010687676)",False,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'auto', 'scale_features': True}"
356,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 3.5938136638046404e+16, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
357,0.5471,"(0.5372812238930798, 0.5568913307491131)",0.4325,"(0.4106499979011524, 0.4545481914580888)",False,RandFeaturesCoatesNg_2to4,"{'num_filters': 16, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
358,0.9558,"(0.9515866618136871, 0.9597452164056149)",0.89,"(0.8754615241600706, 0.903383507578312)",False,DenseNet121,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
359,0.9024,"(0.8964156074968241, 0.9081488478971272)",0.813,"(0.795207470244712, 0.8298698336375757)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
